Mpio,Id,Pr,N,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
no especifica,211,20.35,3.71,0.2,3.26,1.04,0.35,0.1,706,620,12,22,31
no especifica,212,14.65,3.64,0.19,2.86,0.62,0.29,0.11,122,517,9,22,37
no especifica,213,31.65,3.26,0.19,3.12,0.68,0.41,0.13,126,775,9,22,39
no especifica,214,19.82,2.46,0.16,2.18,0.83,0.3,0.04,213,2620,9,19,21
no especifica,221,18.4,2.87,0.16,3.2,0.79,0.42,0.13,122,961,12,21,30
no especifica,222,16.75,2.27,0.18,2.43,0.96,0.35,0.11,129,522,8,20,29
no especifica,223,10.2,2.64,0.16,3.21,0.63,0.35,0.1,127,1060,37,20,25
no especifica,224,14.21,2.78,0.18,2.9,0.63,0.4,0.12,108,814,9,24,29
no especifica,231,14.33,2.51,0.17,2.38,0.85,0.45,0.1,109,1450,8,21,17
no especifica,232,19.5,3.03,0.17,2.52,1.03,0.44,0.1,86,2020,9,17,20
no especifica,233,23.9,2.33,0.17,3.4,0.45,0.35,0.11,112,549,9,19,18
no especifica,234,17.05,2.38,0.17,2.57,1,0.34,0.13,102,238,7,18,20
no especifica,241,24,3.56,0.15,2.63,1.09,0.31,0.15,108,1440,8,19,31
no especifica,242,19.8,3.18,0.17,2.51,0.77,0.28,0.09,120,1360,7,20,17
no especifica,243,14.7,2.94,0.17,1.96,1.02,0.35,0.07,123,1530,7,19,12
no especifica,244,23.4,3.09,0.15,2.82,1.15,0.3,0.06,163,1200,10,20,16
no especifica,251,23.25,2.6,0.14,2.51,0.96,0.34,0.11,105,240,7,22,18
no especifica,252,17.62,2.31,0.17,2.8,0.77,0.35,0.11,126,517,7,19,36
no especifica,253,12,2.2,0.16,2.31,0.95,0.25,0.1,101,358,7,19,20
no especifica,261,16.5,1.75,0.12,2.16,0.85,0.55,0.06,99,1400,26,16,12
no especifica,262,15.5,2.71,0.09,2.98,0.73,0.32,0.08,104,949,9,20,26
no especifica,271,29.66,3.87,0.17,3.01,0.76,0.25,0.11,115,750,9,23,22
no especifica,272,24,2.62,0.18,2.52,0.74,0.32,0.1,111,642,35,18,11
no especifica,273,13.4,3.38,0.16,1.68,0.79,0.24,0.09,76,646,7,15,21
no especifica,274,16.66,2.63,0.16,2.18,0.69,0.29,0.09,81,1076,6,17,15
